PC1,PC2,spectral_cluster,dbscan_cluster
-1.0418122346805656,0.6224118263958812,2,0
-1.334129786845764,1.062820238885478,0,1
1.8305713091551097,2.8874628834067178,0,2
-0.2045877467027273,-0.4463267246205753,1,3
1.516013390405858,-0.3204075051875929,2,3
0.9665530996639096,-0.343103278332602,2,3
0.8798003593455714,-0.3588453139474377,2,3
0.6236829187408333,-0.2844275528650015,2,3
-0.0771796540984927,-0.490486816281181,1,3
-0.2894695068086346,1.1202336464486464,0,1
-0.5581063372094102,0.5165448284141752,2,0
-0.3594603411666686,-0.3145735473771762,1,3
0.8446513764421361,-0.3586243296023023,2,3
-1.371605839634666,1.181797435426221,0,1
1.1955021763828628,-0.3434422335460019,2,3
-0.4571063037156796,-0.3304605064090785,1,3
0.7665629394496075,-0.3521730666418516,2,3
-1.592532981479852,-0.5681221364186618,1,3
-2.2596347467143287,-0.6442065715563167,1,3
-0.970976154167878,0.4838333084922079,2,0
1.1125449806603571,-0.365722319780225,2,3
0.9362336534990222,-0.3579333446297135,2,3
-0.6272973280555928,-0.502831582658189,1,3
0.3778815808616553,-0.4298265324865556,2,3
-0.8204057891506705,0.4979236643644755,2,0
-0.5682670211126966,-0.5540972807234438,1,3
-2.027687047562116,1.5100141426480815,0,1
0.9278847560580644,-0.3600772006456,2,3
1.242988640956585,-0.2993652798884137,2,3
1.236381732694141,-0.3028108066461513,2,3
-0.4069866624635044,-0.3427814696197993,1,3
-0.9563819533816138,1.1121599532842046,0,1
0.4200167136663724,-0.4000746870907725,2,3
0.9801402826096874,-0.297627814687667,2,3
0.7007144422497198,-0.2688227225213629,2,3
0.2149321966466084,-0.3366803739445766,1,3
-0.9463717266228312,1.054842445734326,0,1
0.9032802498146386,-0.3046421905352127,2,3
0.5982322878894027,-0.3989608926290705,2,3
0.6295294062569335,-0.3766945781253248,2,3
-1.6624443134072575,1.0340075413137353,0,1
-0.0664160927731306,-0.3426633813480441,1,3
-1.0767584120497626,1.4707103355667297,0,1
-0.0837351669297271,0.5296367903209857,2,0
-0.1101874581378125,-0.4262440011934553,1,3
0.5341426619825917,-0.3007650941770093,2,3
-0.743052500579803,0.4844656882257031,2,0
1.150799334396913,-0.3177427252246767,2,3
0.2010391134754129,-0.4388748043033569,1,3
0.0786561434227823,-0.3166957433401227,1,3
